,,,,,,,Daily Price Arrival Report-07-11-2025 to 07-02-2026 for Uttar Pradesh,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,"1,150.00","1,400.00","1,270.00",Rs./Quintal,"1,500.00",Metric Tonnes,17-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,650.00,"1,100.00",850.00,Rs./Quintal,"2,000.00",Metric Tonnes,16-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,"1,120.00","1,380.00","1,260.00",Rs./Quintal,"1,550.00",Metric Tonnes,16-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,700.00,"1,000.00",860.00,Rs./Quintal,"1,680.00",Metric Tonnes,15-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,"1,100.00","1,380.00","1,250.00",Rs./Quintal,"1,600.00",Metric Tonnes,15-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,"1,100.00","1,400.00","1,260.00",Rs./Quintal,"1,900.00",Metric Tonnes,14-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,"1,150.00","1,400.00","1,280.00",Rs./Quintal,"1,860.00",Metric Tonnes,13-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,800.00,"1,020.00",860.00,Rs./Quintal,"1,720.00",Metric Tonnes,12-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,"1,150.00","1,450.00","1,290.00",Rs./Quintal,"1,800.00",Metric Tonnes,12-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,800.00,"1,000.00",850.00,Rs./Quintal,"1,750.00",Metric Tonnes,11-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,"1,140.00","1,400.00","1,280.00",Rs./Quintal,"1,900.00",Metric Tonnes,11-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,800.00,"1,020.00",900.00,Rs./Quintal,"1,700.00",Metric Tonnes,10-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,"1,150.00","1,400.00","1,290.00",Rs./Quintal,"1,700.00",Metric Tonnes,10-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,800.00,"1,040.00",920.00,Rs./Quintal,"1,600.00",Metric Tonnes,09-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,"1,100.00","1,400.00","1,270.00",Rs./Quintal,"1,800.00",Metric Tonnes,09-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,800.00,"1,050.00",950.00,Rs./Quintal,"1,500.00",Metric Tonnes,08-12-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,"1,100.00","1,420.00","1,280.00",Rs./Quintal,"1,780.00",Metric Tonnes,08-11-2025
Uttar Pradesh,Agra,Agra APMC,Vegetables,Potato,Desi,FAQ,860.00,"1,100.00",960.00,Rs./Quintal,"1,400.00",Metric Tonnes,07-12-2025
